"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FKBP5",4310.04852646403,-4.34913370686,0.215270882797335,-20.203074611602,9.19877443120898e-91,1.55716853571506e-86
"SPARCL1",1488.0866356496,-4.9268270073051,0.260558834426936,-18.908692994966,9.6724469851297e-80,8.18675912821379e-76
"TSC22D3",4393.70862780908,-3.56006997127677,0.202683599971909,-17.5646671549655,4.59380723462393e-69,2.59213229559046e-65
"MAOA",3381.07436973949,-3.28385211970097,0.204907882804369,-16.0259921422161,8.41371959894287e-58,3.56068613427262e-54
"VCAM1",764.893000842595,3.78769529960136,0.249941801035428,15.1543090587896,7.09577162373945e-52,2.40234444093323e-48
"ZBTB16",549.621365396089,-8.18629411726455,0.556554580068834,-14.708879255386,5.65359995035969e-49,1.59506899932815e-45
"CRISPLD2",5347.25608829175,-2.93349020736535,0.200973842534851,-14.5963781672565,2.96166640441019e-48,7.16215555626510e-45
"SAMHD1",19952.9107869742,-3.88671969983682,0.26707247360757,-14.553052388124,5.58541255011718e-48,1.1818732956048e-44
"KLF15",1155.26448095341,-4.59189793329808,0.323653990501142,-14.1876759380845,1.09218705837531e-45,2.05428250268635e-42
"GLUL",26757.0884631954,-3.08887834839427,0.223167456739667,-13.8410787734054,1.44028714222964e-43,2.43811807436633e-40
"KLF9",3447.49161479924,-2.19268185816148,0.192632646018834,-11.3827116196447,5.09892292524063e-30,7.84677884349758e-27
"ADAMTS14",1028.43178053185,2.74431267230017,0.244186355785013,11.2385995666208,2.63529631635528e-29,3.71752467027185e-26
"FGD4",1713.08490096946,-2.33383523972923,0.21173420545385,-11.0224761971108,2.9775359211861e-28,3.87720985183372e-25
"PER1",1053.49799031895,-3.42935465227953,0.31249814332666,-10.9740000877214,5.09666027867030e-28,6.16259037123791e-25
"PLXNA4",589.529294842041,-2.53488481040707,0.233980118601873,-10.8337615415961,2.38166186356444e-27,2.68778480176125e-24
"CORO6",3549.96919402394,-2.56983054547595,0.241949460345578,-10.6213526651617,2.37100188624896e-26,2.5085199956514e-23
"METTL7A",7675.66441453235,-2.32004558267087,0.222524595907437,-10.4260186304795,1.88627189756375e-25,1.87828298129171e-22
"DUSP1",5825.4599735797,-2.89201592614292,0.279193564637857,-10.3584619863791,3.8307199409423e-25,3.60257928668174e-22
"CCDC69",3640.21893702883,-3.10172027340136,0.300281505656591,-10.3293749863788,5.18976307917879e-25,4.62380575812308e-22
"SUN2",3868.02458117693,-1.94512514509047,0.189520075163314,-10.2634253569935,1.02987389642476e-24,8.71685265933916e-22
"FOXO1",1193.61677046903,-2.36041370923517,0.233863204389231,-10.0931384883729,5.92444174843742e-24,4.77566428178803e-21
"PDK4",1030.320828289,-3.79390198881487,0.378759119688051,-10.0166617557343,1.28779275305451e-23,9.90897987441213e-21
"NEXN",8357.32662521708,-2.17439438724801,0.220225664949053,-9.87348312809515,5.4247470941427e-23,3.99261386128903e-20
"NNMT",11833.4247952886,-2.14336791055385,0.21773249468384,-9.84404240472306,7.27284923461602e-23,5.12978299348250e-20
"MT1XP1",160.010803711827,-3.79113824817803,0.386619196296337,-9.80587173243251,1.06225787694677e-22,7.19276053638198e-20
"CACNB2",848.462630904971,-3.36107804189551,0.343296053717746,-9.79061077311118,1.2354730358576e-22,8.04387982730673e-20
"KCTD12",4646.71645193146,2.50145298783527,0.2598215970466,9.62757913995356,6.11531822523092e-22,3.83407803395218e-19
"FLRT3",256.306881087049,2.94176059118707,0.310826682511357,9.46431164602345,2.95500900368353e-21,1.78651401479839e-18
"FAM46C",166.633408945218,3.6155171727313,0.382387234908257,9.45511994823452,3.22651826735112e-21,1.88339659412827e-18
"ADAM12",2194.0903447758,2.00466603240616,0.214914828335511,9.32772320985037,1.08169463948966e-20,6.10364228576032e-18
"MT2A",1835.90377659313,-2.10596524923653,0.227473415018054,-9.25807197763918,2.0815681244713e-20,1.13667049067904e-17
"SCD",1342.08773154119,2.45795281926071,0.272770698176258,9.0110588699393,2.04076434384704e-19,1.07956433789508e-16
