"gene_name","trt1","trt2","untrt1","untrt2"
"A1BG",18,6,18,23
"A1BG-AS1",115,105,90,110
"A1CF",0,0,1,0
"A2M",17398,30450,22673,37152
"A2M-AS1",60,20,94,44
"A2ML1",0,0,0,4
"A2ML1-AS1",0,0,0,0
"A2ML1-AS2",0,0,0,0
"A2MP1",2,0,1,0
"A3GALT2",0,0,0,0
"A4GALT",2152,1960,1569,2622
"A4GNT",11,6,3,17
"AAAS",683,549,743,1076
"AACS",372,293,512,574
"AACSP1",0,0,0,0
"AADAC",3,6,6,4
"AADACL2",1,0,1,1
"AADACL3",0,0,0,0
"AADACL4",7,9,2,11
"AADAT",177,36,200,175
"AAED1",1575,1545,956,1241
"AAGAB",848,750,964,1404
"AAK1",265,164,351,472
"AAMDC",146,120,138,219
"AAMP",1959,1087,1661,1768
"AANAT",0,0,0,2
"AAR2",1215,908,1270,1335
"AARD",2,2,1,0
"AARS",2656,2137,4199,5181
"AARS2",396,165,728,741
"AARSD1",34,5,15,31
"AASDH",310,259,376,495
"AASDHPPT",905,706,974,1148
"AASS",1109,775,591,697
"AATF",981,697,969,1015
"AATK",3,1,5,8
"AATK-AS1",0,0,0,0
"AB015752.3",0,0,0,2
"AB019438.66",0,0,0,0
"AB019440.1",0,0,0,0
"AB019440.50",0,0,0,0
"AB019441.29",1440,882,1470,1759
"ABAT",1040,777,502,584
"ABBA01057584.1",0,0,0,0
"ABC12-47043100G14.2",0,0,0,0
"ABC13-48559800H2.1",0,0,0,0
"ABC13-48559800H2.2",0,0,0,0
"ABC7-42389800N19.1",217,38,243,70
"ABC7-42391500H16.2",0,0,0,0
"ABC7-43041300I9.1",0,0,0,0
"ABC9-43961700F1.1",0,0,0,0
"ABCA1",7680,8462,7970,12561
"ABCA10",131,41,239,310
"ABCA11P",6,21,13,24
"ABCA12",3,2,9,11
"ABCA13",12,16,16,64
"ABCA17P",1,1,7,14
"ABCA2",1055,971,1533,1907
"ABCA3",83,180,143,292
"ABCA4",25,36,13,35
"ABCA5",350,396,394,644
"ABCA6",2993,2612,1590,2028
"ABCA7",107,71,173,293
"ABCA8",5419,3283,4776,5750
"ABCA9",1938,2083,1392,2803
"ABCA9-AS1",0,0,0,0
"ABCB1",40,105,93,184
"ABCB10",338,298,287,341
"ABCB10P1",0,0,0,0
"ABCB10P3",0,0,0,0
"ABCB10P4",0,0,0,0
"ABCB11",0,0,0,0
"ABCB4",12,13,64,54
"ABCB5",3,9,29,98
"ABCB6",138,49,111,115
"ABCB7",283,199,352,413
"ABCB8",775,478,813,891
"ABCB9",65,48,116,110
"ABCC1",6855,4126,9290,9521
"ABCC10",821,553,834,1062
"ABCC11",2,3,4,2
"ABCC12",0,0,0,1
"ABCC13",0,0,0,0
"ABCC2",22,7,16,5
"ABCC3",423,336,310,450
"ABCC4",1682,1305,1688,1252
"ABCC5",1429,1349,1674,1655
"ABCC5-AS1",0,0,0,0
"ABCC6",49,51,105,228
"ABCC6P1",1,1,11,4
"ABCC6P2",2,2,7,7
"ABCC8",0,0,0,0
"ABCC9",938,1146,566,857
"ABCD1",698,477,674,965
"ABCD1P2",0,0,0,0
"ABCD1P3",0,0,0,0
"ABCD1P4",0,0,0,0
"ABCD1P5",0,0,0,0
"ABCD2",1,1,2,2
"ABCD3",1045,809,1372,1268
"ABCD4",585,418,819,1023
"ABCE1",882,582,785,794
"ABCF1",1541,1131,1652,1911
"ABCF2",1378,877,1049,1230
"ABCF2P1",472,385,410,506
"ABCF2P2",0,0,0,0
"ABCF3",706,486,767,1066
"ABCG1",190,165,179,298
"ABCG2",17,20,26,36
"ABCG4",6,4,4,9
"ABCG5",0,0,0,0
"ABCG8",0,0,0,0
"ABHD1",7,1,1,20
"ABHD10",389,329,689,743
"ABHD11",107,58,163,223
"ABHD12",1410,1253,1350,1642
"ABHD12B",5,2,6,9
"ABHD13",686,634,635,705
"ABHD14A",218,143,276,267
"ABHD14A-ACY1",0,0,0,3
"ABHD14B",1740,1078,1683,1707
"ABHD15",743,664,540,708
"ABHD16A",58,28,76,65
"ABHD16B",49,45,62,140
"ABHD17A",731,390,757,746
"ABHD17AP1",0,0,0,0
"ABHD17AP2",0,0,0,0
"ABHD17AP3",31,8,25,13
"ABHD17AP4",0,0,0,0
"ABHD17AP5",7,2,6,6
"ABHD17AP6",0,0,1,4
"ABHD17B",357,301,357,307
"ABHD17C",912,740,695,835
"ABHD2",2378,2323,2563,2936
"ABHD3",153,123,99,141
"ABHD4",2911,2325,3481,4732
"ABHD5",2231,1587,879,1263
"ABHD6",147,86,83,137
"ABHD8",451,264,432,534
"ABI1",1534,1309,1610,1626
"ABI2",1335,1299,1993,2655
"ABI3",0,0,0,0
"ABI3BP",6529,3726,7320,6213
"ABL1",10315,5668,11254,12799
"ABL2",1986,1746,1877,2132
"ABLIM1",1517,1718,700,1292
"ABLIM2",1,0,1,0
"ABLIM3",3107,1924,3189,4020
"ABO",0,0,0,0
"ABR",3937,3349,6401,7515
"ABRA",0,0,0,0
"ABRACL",304,122,268,137
"ABT1",418,264,471,543
"ABT1P1",1,0,0,0
"ABTB1",1639,1207,1346,1539
"ABTB2",392,314,377,475
"AC000003.1",0,0,0,0
"AC000003.2",0,0,0,0
"AC000029.1",0,0,0,0
"AC000032.2",0,0,0,0
"AC000036.4",0,0,0,0
"AC000041.8",0,0,0,0
