tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000000003	62.054	73.6326	79.6225	86.0844	118.741	101.586	88.7389	83.6198	29.7091	23.0765
ENSG00000000005	2.33668	2.68779	0.851574	1.17471	0.235507	0.349346	0.410031	0.455172	2.58944	0.775921
ENSG00000000419	43.2995	54.3376	43.0357	43.4881	30.9739	30.4298	31.966	32.5374	22.1828	18.254
ENSG00000000457	3.42733	3.68771	4.33792	5.27854	6.53914	5.27657	4.9119	5.22557	7.11858	5.86556
ENSG00000000460	17.3848	20.2826	11.949	9.39917	11.3422	11.9478	3.49415	2.04552	7.146	8.97496
ENSG00000000938	0.179416	0.0942856	0.0649142	0.0813968	0.0104568	0.0451591	0	0.0304056	0.304999	0.962307
ENSG00000000971	0	0	0.00898645	0.00710471	0	0	0	0	13.208	18.1066
ENSG00000001036	32.1342	37.2327	36.2027	31.4452	28.5846	26.088	27.578	32.1194	25.5725	17.4758
ENSG00000001084	14.4051	16.1142	21.3471	23.3428	11.503	13.9217	14.2026	13.4788	7.52034	9.88336
ENSG00000001167	12.109	7.30487	8.46982	9.41272	10.0071	12.3035	6.86932	3.99499	11.5833	12.2342
ENSG00000001460	4.08364	3.8978	6.05596	5.24566	4.62508	3.79864	3.37462	4.0741	3.0843	5.11467
ENSG00000001461	4.13378	5.17199	2.41212	2.06694	5.73429	4.96918	15.0217	14.6461	10.6249	7.3339
ENSG00000001497	32.7596	35.0367	28.7726	25.1648	22.2018	23.3951	17.9858	16.9713	10.7629	11.5812
ENSG00000001561	2.53337	1.9302	2.22167	2.07455	3.26286	3.79688	5.76302	6.69904	5.6079	3.89442
ENSG00000001617	40.0419	22.0923	95.5997	118.766	21.5229	20.6317	3.2699	5.02065	4.18813	13.1851
ENSG00000001626	0.214842	0.542777	0.00988519	0	0.473378	0.439842	1.30209	0.170445	0.481864	0.69898
ENSG00000001629	16.8452	17.234	16.0632	19.2224	18.1752	18.9584	15.1443	17.1607	19.7799	16.507
ENSG00000001630	99.4375	110.036	75.2685	75.183	47.733	39.3685	49.3647	87.8829	23.393	23.385
ENSG00000001631	16.2701	18.2339	23.7047	23.5742	22.692	22.6389	22.3288	20.1814	23.3956	24.417
ENSG00000002016	7.21128	7.1418	7.48835	7.89144	7.62979	8.1801	4.89109	5.29412	10.3555	11.626
ENSG00000002330	16.4011	17.6788	24.5536	28.3947	20.9088	14.5768	54.61	54.3043	43.7218	35.4503
ENSG00000002549	30.2625	34.8835	28.7515	30.1419	20.3875	19.8993	48.7481	50.4794	26.7176	18.6492
ENSG00000002586	19.9566	18.6592	63.7558	67.0771	165.404	158.61	225.226	162.864	104.939	111.134
ENSG00000002587	0.445211	0.397526	2.7906	3.2104	2.34415	1.90391	0.23784	0.00469881	2.90356	2.70258
ENSG00000002726	0.211299	0.350351	0	0.0409987	0.487459	0.451478	0.121417	0.0574763	0	0.0170907
ENSG00000002745	0.0123291	0.0115464	0	0.0249052	1.21999	0.393037	0.0307698	0.0279238	0.0542928	0.220745
