,subtype
EWS-C1,2
EWS-C2,2
EWS-C3,2
EWS-C4,2
EWS-C6,2
EWS-C7,2
EWS-C8,2
EWS-C9,2
EWS-C10,2
EWS-C11,2
EWS-T1,2
EWS-T2,2
EWS-T3,2
EWS-T4,2
EWS-T6,2
EWS-T7,2
EWS-T9,2
EWS-T11,2
EWS-T12,2
EWS-T13,2
EWS-T14,2
EWS-T15,2
EWS-T19,2
RMS-C2,4
RMS-C3,4
RMS-C4,4
RMS-C5,4
RMS-C6,4
RMS-C7,4
RMS-C8,4
RMS-C9,4
RMS-C10,4
RMS-C11,4
RMS-T1,4
RMS-T2,4
RMS-T3,4
RMS-T4,4
RMS-T5,4
RMS-T6,4
RMS-T7,4
RMS-T8,4
RMS-T10,4
RMS-T11,4
NB-C1,3
NB-C2,3
NB-C3,3
NB-C4,3
NB-C5,3
NB-C6,3
NB-C7,3
NB-C8,3
NB-C9,3
NB-C10,3
NB-C11,3
NB-C12,3
BL-C1,1
BL-C2,1
BL-C3,1
BL-C4,1
BL-C5,1
BL-C6,1
BL-C7,1
BL-C8,1
